CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326.0,1.0,77183.6,1,At Risk
12347,2.0,7.0,4311.0,0,Regular
12348,75.0,4.0,1797.24,0,Regular
12349,19.0,1.0,1757.55,0,Regular
12350,310.0,1.0,334.4,1,At Risk
12352,36.0,8.0,2506.04,0,Regular
12353,204.0,1.0,89.0,1,At Risk
12354,232.0,1.0,1079.4,1,At Risk
12355,214.0,1.0,459.4,1,At Risk
12356,23.0,3.0,2811.43,0,Regular
12357,33.0,1.0,6207.67,0,Regular
12358,2.0,2.0,1168.06,0,Regular
12359,58.0,4.0,6372.58,0,Regular
12360,52.0,3.0,2662.06,0,Regular
12361,287.0,1.0,189.9,1,At Risk
12362,3.0,10.0,5226.23,0,Regular
12363,110.0,2.0,552.0,0,Regular
12364,8.0,4.0,1313.1,0,Regular
12365,291.0,2.0,641.38,1,At Risk
12367,4.0,1.0,168.9,0,Regular
12370,51.0,4.0,3545.69,0,Regular
12371,45.0,2.0,1887.96,0,Regular
12372,72.0,3.0,1298.04,0,Regular
12373,311.0,1.0,364.6,1,At Risk
12374,25.0,1.0,742.9300000000001,0,Regular
12375,11.0,2.0,457.5,0,Regular
12377,315.0,2.0,1628.12,1,At Risk
12378,130.0,1.0,4008.62,0,Regular
12379,82.0,2.0,852.24,0,Regular
12380,22.0,4.0,2724.81,0,Regular
12381,5.0,5.0,1845.31,0,Regular
12383,185.0,5.0,1850.56,1,At Risk
12384,29.0,2.0,585.27,0,Regular
12386,338.0,2.0,401.9,1,At Risk
12388,16.0,6.0,2780.66,0,Regular
12390,80.0,1.0,549.84,0,Regular
12391,22.0,1.0,460.89,0,Regular
12393,72.0,4.0,1582.6,0,Regular
12394,64.0,2.0,1272.48,0,Regular
12395,19.0,12.0,3018.63,0,Regular
12397,36.0,2.0,2409.9,0,Regular
12398,46.0,1.0,1635.66,0,Regular
12399,119.0,4.0,1108.65,0,Regular
12401,303.0,1.0,84.3,1,At Risk
12402,323.0,1.0,225.6,1,At Risk
12403,50.0,1.0,427.7,0,Regular
12405,149.0,1.0,1710.39,1,At Risk
12406,22.0,2.0,3415.3,0,Regular
12407,50.0,5.0,1708.12,0,Regular
12408,33.0,5.0,2888.55,0,Regular
12409,79.0,3.0,11072.67,0,Regular
12410,309.0,2.0,693.3299999999999,1,At Risk
12412,75.0,3.0,1226.88,0,Regular
12413,67.0,3.0,758.1,0,Regular
12414,217.0,3.0,562.41,1,At Risk
12415,24.0,21.0,124914.53,2,VIP
12417,3.0,9.0,3649.1,0,Regular
12418,113.0,1.0,668.58,0,Regular
12420,64.0,1.0,600.39,0,Regular
12421,16.0,4.0,807.04,0,Regular
12422,96.0,3.0,803.5600000000001,0,Regular
12423,1.0,8.0,1859.31,0,Regular
12424,163.0,2.0,1760.96,1,At Risk
12425,78.0,1.0,777.2,0,Regular
12426,195.0,1.0,582.73,1,At Risk
12427,22.0,3.0,825.8,0,Regular
12428,26.0,9.0,7956.46,0,Regular
12429,9.0,4.0,3750.4,0,Regular
12430,43.0,1.0,256.4,0,Regular
12431,36.0,15.0,6487.45,0,Regular
